	Hip	V	RA (deg)	Dec (deg)	Par(mas)	B-V	M_V	Sp
 	7040	7.91	22.69189073	-59.65937826	15.85	3.91	0.6	

 	7076	8.15	22.79590568	-9.31206378	22.17	4.88	0.63	

 	7082	7.24	22.81247885	-65.11866698	14.48	3.04	0.89	

 	7090	7.32	22.83085664	29.41330395	23.18	4.15	0.62	

 	7143	6.78	23.01271973	16.94770727	17.15	2.95	0.93	

 	7183	7.78	23.13664908	-49.52800433	20.49	4.34	0.64	

 	7228	10.0	23.28823888	-24.91381749	28.69	7.29	1.17	

 	7235	6.97	23.31514505	-24.17757411	51.27	5.52	0.77	

 	7244	7.63	23.32927984	23.97550045	30.13	5.02	0.67	

 	7276	5.75	23.42805448	-7.02514279	33.71	3.39	0.64	

 	7283	6.46	23.45214999	89.01571833	10.15	1.49	0.11	

 	7294	4.68	23.48302496	59.23209665	15.96	0.7	0.99	

 	7339	6.52	23.64116285	68.94785738	47.65	4.91	0.69	

 	7345	5.62	23.65717247	-15.6763527	16.32	1.68	0.07	

 	7357	6.9	23.70309634	0.94542483	27.26	4.08	0.53	

 	7370	6.74	23.74216541	33.11818983	20.91	3.34	0.63	

 	7387	6.03	23.81128987	-58.13939438	24.72	3.0	0.38	

 	7396	8.77	23.83701944	-21.20091563	28.63	6.05	0.78	

 	7404	7.17	23.85901886	-13.38112035	27.36	4.36	0.59	

 	7426	8.83	23.91976291	-65.29353386	20.46	5.38	0.76	

 	7429	7.85	23.9242595	-55.23844148	20.82	4.44	0.56	

 	7443	6.43	23.96083226	-39.94700724	26.54	3.55	0.41	

 	7446	7.15	23.97042741	-17.5319768	23.3	3.99	0.71	

 	7447	5.95	23.97777176	17.43378965	16.75	2.07	0.26	

 	7513	4.1	24.19990413	41.40638491	74.25	3.45	0.54	

 	7554	10.39	24.33490489	-49.19594129	45.79	8.69	1.42	

 	7564	6.99	24.35512689	25.16827394	23.8	3.87	0.9	

 	7576	7.66	24.39735704	-6.76018613	42.35	5.79	0.8	

 	7585	6.77	24.42002999	12.07836601	38.86	4.72	0.65	

 	7599	7.33	24.47330813	-60.51154249	25.39	4.35	0.63	

 	7601	5.88	24.47908355	-82.97528876	36.86	3.71	0.62	

 	7607	3.59	24.49792651	48.62848641	18.76	-0.04	1.27	

 	7669	7.35	24.68680807	-5.73525633	18.95	3.74	0.47	

 	7699	7.08	24.78136774	-56.42929868	20.37	3.62	0.47	

 	7733	7.74	24.89851037	28.11067481	29.41	5.08	0.73	

 	7734	6.6	24.89931748	45.87832743	46.73	4.95	0.69	

 	7744	8.53	24.92607729	65.16003065	22.58	5.3	0.77	

 	7759	7.85	24.97691301	-9.97245897	21.16	4.48	0.61	

 	7805	7.62	25.09996775	-60.99903796	15.02	3.5	0.42	

 	7819	6.34	25.14535993	8.76076486	17.99	2.62	0.4	

 	7822	7.92	25.15145606	-36.48323827	28.29	5.18	0.71	

 	7829	10.16	25.18321792	-49.23205869	33.63	7.79	1.22	

 	7860	8.09	25.27808138	3.71363494	23.73	4.97	0.73	

 	7874	6.2	25.32624343	25.74581125	17.86	2.46	0.46	

 	7886	6.2	25.36368452	-38.1329641	23.87	3.09	0.4	

 	7902	7.7	25.40291709	66.9105885	27.28	4.88	0.69	

 	7949	7.53	25.52543359	69.08601991	21.08	4.15	0.59	

 	7961	7.45	25.56072752	-17.88883494	20.45	4.0	0.62	

 	7978	5.52	25.62146258	-53.7405747	57.63	4.32	0.55	

 	7990	8.4	25.65412355	-58.4130565	22.59	5.17	0.71	

 	8016	5.18	25.73220374	70.62255881	11.62	0.51	-0.02	

 	8043	10.4	25.81504023	27.84218426	48.11	8.81	1.46	

 	8044	6.33	25.81828533	45.32263641	18.04	2.61	1.02	

