	Hip	V	RA (deg)	Dec (deg)	Par(mas)	B-V	M_V	Sp

 	25608	5.56	82.06386207	-37.2309313	11.1	0.79	0.03	

 	25612	10.12	82.07682229	-81.77430687	32.84	7.7	1.17	

 	25616	6.78	82.08797529	-22.43428482	28.28	4.04	0.59	

 	25623	7.65	82.10948129	-3.4976178	77.03	7.08	1.11	

 	25662	6.71	82.21491883	12.55135347	34.55	4.4	0.58	

 	25746	6.64	82.45880477	-47.07627039	19.45	3.08	0.35	

 	25749	7.14	82.47167537	53.43274127	17.88	3.4	0.4	

 	25768	5.46	82.53942437	-47.07733403	22.87	2.26	0.61	

 	25795	8.3	82.62625797	-37.20306746	22.63	5.07	0.65	

 	25807	6.96	82.6865525	-57.16003271	11.7	2.3	0.21	

 	25840	6.95	82.74935527	-10.08031884	23.98	3.85	0.56	

 	25843	8.18	82.75493101	-28.52909622	20.22	4.71	0.58	

 	25873	8.4	82.8476785	12.55642206	28.0	5.64	0.81	

 	25878	7.97	82.86229396	-3.67214214	175.72	9.19	1.47	

 	25952	7.97	83.06031358	-38.1975964	19.81	4.45	0.55	

 	25953	11.55	83.06151141	9.8213408	78.3	11.02	1.64	

 	25963	7.37	83.0856903	-47.47533353	17.54	3.59	0.67	

 	25973	6.44	83.14033281	57.22161686	22.79	3.23	0.59	

 	25993	5.45	83.21407027	-38.51334582	18.92	1.83	1.22	

 	26008	6.82	83.2621194	68.01343183	17.07	2.98	0.37	

 	26013	9.12	83.26912293	-26.72488551	29.57	6.47	1.04	

 	26019	5.75	83.280485	-35.13930773	11.74	1.1	1.09	

 	26030	8.6	83.30656958	-65.02303174	15.97	4.62	0.59	

 	26079	6.42	83.43457243	-54.9023146	17.8	2.67	0.55	

 	26160	8.69	83.65460928	81.69853129	19.89	5.18	0.59	

 	26175	8.8	83.70174186	-23.46793027	37.07	6.65	0.92	

 	26269	7.12	83.91474297	-81.61194305	20.12	3.64	0.5	

 	26277	9.33	83.93442645	-62.79787593	30.82	6.77	1.12	

 	26309	6.26	84.04282744	-28.70800575	17.68	2.5	0.15	

 	26372	7.01	84.23159766	74.31949201	16.11	3.05	0.35	

 	26380	6.69	84.25720205	-73.69908204	26.47	3.8	0.58	

 	26381	7.68	84.26056715	20.73180857	30.08	5.07	0.67	

 	26382	5.53	84.26545679	17.0404091	18.56	1.87	0.24	

 	26394	5.65	84.28663598	-80.4716745	54.92	4.35	0.6	

 	26404	7.68	84.30682808	-24.40210332	17.08	3.84	0.45	

 	26437	7.75	84.38972509	74.68920658	19.96	4.25	0.62	

 	26453	7.26	84.41504533	-28.62628562	16.8	3.39	0.4	

 	26460	5.28	84.43601282	-28.68979391	23.54	2.14	0.49	

 	26488	7.43	84.50745443	-42.9641515	16.42	3.51	0.6	

 	26505	7.74	84.55156564	51.44548289	48.72	6.18	0.83	

 	26542	9.55	84.66846091	-38.3568665	34.45	7.24	1.04	

 	26553	8.71	84.6947455	-52.48903491	14.76	4.56	0.6	

 	26556	7.89	84.70223325	55.74791937	16.22	3.94	0.48	

 	26587	7.03	84.77247542	56.36036185	16.64	3.14	0.41	

 	26624	5.99	84.87980519	-3.56470944	24.16	2.91	0.29	

 	26634	2.65	84.91224975	-34.07404941	12.16	-1.93	-0.12	

 	26653	7.85	84.96816107	52.89783269	35.91	5.63	0.76	

 	26688	7.7	85.07296536	-19.22668007	20.61	4.27	0.42	

 	26722	7.84	85.17907131	-36.58496106	19.05	4.24	0.55	

 	26737	7.84	85.21669361	-31.35021979	27.15	5.01	0.65	

 	26779	6.21	85.33472092	53.48233045	81.69	5.77	0.84	

 	26787	9.0	85.34749551	-35.71380323	18.23	5.3	0.66	

 	26801	9.78	85.37802824	53.49105798	80.13	9.3	1.47	

 	26807	7.67	85.39311117	15.21418407	26.51	4.79	0.69	

 	26834	7.36	85.47307898	-15.63025585	36.05	5.14	0.8	

 	26883	9.0	85.61402647	-50.47528345	19.58	5.46	0.83	

 	26907	8.55	85.69037392	2.68032382	31.9	6.07	0.89	

 	26942	6.05	85.75690634	56.58145257	16.26	2.11	0.95	

 	26973	8.52	85.8600448	-47.8234963	27.86	5.74	0.86	

 	26974	7.14	85.86088457	52.48872616	33.02	4.73	0.62	

 	26981	6.25	85.87562146	-39.40691739	18.73	2.61	0.38	

 	26985	8.76	85.88594923	-76.76846241	22.59	5.53	0.7	

 	26990	8.14	85.89912288	-39.92356834	19.17	4.55	0.59	

 	27001	6.38	85.92132767	-45.8331013	12.24	1.82	0.29	

 	27021	7.1	85.96946899	-21.27976964	23.15	3.92	0.53	

 	27058	7.11	86.07315707	-10.01638315	25.43	4.14	0.64	

 	27072	3.59	86.11656241	-22.44748663	111.49	3.83	0.48	

 	27075	6.34	86.11835896	-20.1266631	39.15	4.3	0.58	

 	27080	8.09	86.13520683	-70.14658241	39.08	6.05	0.76	

 	27100	4.34	86.19341279	-65.7355408	22.48	1.1	0.22	

 	27133	6.83	86.30456934	-31.66931836	14.2	2.59	0.37	

 	27165	6.85	86.37412381	52.16150412	21.89	3.55	0.64	

 	27188	9.02	86.44959614	62.23868581	73.04	8.34	1.38	

 	27207	7.34	86.50636958	37.28588759	48.6	5.77	0.83	

 	27225	8.2	86.55016335	78.25608444	28.2	5.45	0.72	

 	27244	6.63	86.61647159	-53.21898343	34.7	4.33	0.59	

 	27249	5.93	86.62653944	56.11571824	16.89	2.07	0.16	

 	27281	7.54	86.71946461	-28.88993838	19.88	4.03	0.55	

 	27288	3.55	86.73895728	-14.82194717	46.47	1.89	0.1	

 	27321	3.85	86.82118054	-51.06671329	51.87	2.42	0.17	

 	27323	9.74	86.82580489	-48.52435607	48.2	8.16	1.38	

 	27330	7.16	86.84120322	-27.13444153	17.07	3.32	0.51	

 	27359	10.72	86.91676194	-36.32826614	66.71	9.84	1.48	

 	27417	7.8	87.08365922	-24.46376184	23.48	4.65	0.57	

 	27435	5.97	87.14543446	-4.09408727	64.25	5.01	0.64	

 	27441	8.89	87.15329482	-39.93218126	22.53	5.65	0.86	

 	27559	7.42	87.54962573	-55.08138903	12.74	2.95	0.37	

 	27566	5.46	87.56999717	-79.36152292	12.06	0.87	-0.08	

 	27576	7.62	87.61140094	75.71468676	16.42	3.7	0.53	

 	27578	8.71	87.61393079	-43.70014321	19.96	5.21	0.68	

 	27803	9.7	88.25118913	-5.99400202	49.74	8.18	1.32	

 	27823	8.59	88.31351733	-36.26359267	21.06	5.21	0.7	

 	27849	7.28	88.37876402	-16.2647919	18.06	3.56	0.54	

 	27887	7.17	88.51792247	-60.02332467	77.95	6.63	0.94	

 	27896	6.53	88.54469795	-50.3638842	28.67	3.82	0.89	

 	27913	4.39	88.59618305	20.27641498	115.43	4.7	0.59	

 	27918	8.84	88.61887783	2.14380286	37.57	6.71	1.01	

 	27947	5.29	88.70878524	-52.63607272	28.65	2.58	0.29	

 	27957	8.39	88.72482663	-75.45915067	16.91	4.53	0.64	

 	27969	8.56	88.73922815	-65.96028767	14.05	4.3	0.55	

 	27978	7.58	88.75122091	-50.9886961	14.21	3.34	0.43	

 	28036	7.46	88.9297757	-38.10454164	18.45	3.79	0.49	

 	28066	6.6	89.01336958	13.92608804	35.72	4.36	0.65	

 	28103	3.71	89.10132627	-14.16803805	66.47	2.82	0.34	

 	28150	6.65	89.22879436	-44.00914824	18.75	3.02	0.52	

 	28193	9.28	89.36997886	-37.84840526	23.92	6.17	0.96	

 	28241	8.26	89.51553505	-35.80019764	16.36	4.33	0.59	

 	28267	6.99	89.58955821	-4.65017345	43.1	5.16	0.72	

 	28316	9.99	89.74614125	-78.28203351	19.96	6.49	0.88	

 	28380	2.65	89.93015897	37.21276409	18.83	-0.98	-0.08	

 	28403	8.61	89.98179235	-37.05716916	19.41	5.05	0.63	

 	28419	8.59	90.03119374	-38.16758393	15.69	4.57	0.6	

 	28434	6.21	90.07359834	-12.89991193	16.7	2.32	0.36	

 	28460	8.82	90.13603897	-56.16197623	19.22	5.24	0.62	

 	28462	8.12	90.14443015	-51.46801856	13.24	3.73	0.5	

 	28474	9.09	90.17202127	-44.89730687	18.57	5.43	0.7	

 	28484	5.65	90.20499138	-51.21655276	15.82	1.65	0.21	

 	28498	7.4	90.2305615	-54.95136555	17.92	3.67	0.47	

 	28518	9.04	90.29341246	-38.27348849	18.55	5.38	0.69	

 	28591	7.18	90.52700196	-27.42705401	17.96	3.45	0.42	

 	28604	8.72	90.56142234	-44.01007461	19.8	5.2	0.63	

 	28634	6.49	90.68796982	47.80930399	35.21	4.22	0.57	

 	28644	6.23	90.72965494	32.63621103	20.02	2.74	0.46	

 	28654	6.88	90.76320863	-37.54711099	11.91	2.26	0.2	

 	28764	6.35	91.11878029	-45.03720225	37.46	4.22	0.52	

 	28767	6.74	91.12444026	44.26081415	30.0	4.13	0.57	

 	28813	6.72	91.24243225	14.3888923	24.56	3.67	0.51	

 	28823	5.9	91.26425064	42.9819855	19.38	2.34	0.36	

 	28855	5.8	91.36320378	-35.51368651	12.4	1.27	0.03	

 	28869	7.84	91.4253352	-61.74860707	20.51	4.4	0.59	

 	28898	8.45	91.51568173	-59.54137568	36.53	6.26	0.84	

 	28899	5.79	91.52304862	-29.75852227	12.25	1.23	0.04	

 	28902	8.29	91.52469347	69.47626911	31.3	5.77	0.78	

 	28905	8.34	91.53100039	67.64075778	27.0	5.5	0.77	

 	28908	6.12	91.53593305	35.38845807	37.9	4.01	0.6	

 	28909	5.72	91.53900939	-66.03968885	9.82	0.68	-0.02	

 	28910	4.67	91.53889172	-14.93528629	19.14	1.08	0.05	

 	28913	7.24	91.54807438	-45.81583693	18.22	3.54	0.55	

 	28921	8.95	91.56927375	-27.90591232	31.38	6.43	0.87	

 	28935	8.4	91.60285003	63.83590894	32.95	5.99	0.85	

 	28941	9.1	91.62437646	-72.51172832	22.11	5.82	0.9	

 	28954	6.76	91.66896343	15.54235694	64.71	5.81	0.81	

 	28964	9.4	91.68230619	-62.68303897	36.33	7.2	1.11	

 	28987	6.83	91.74937384	-46.2055747	21.38	3.48	0.46	

 	29001	7.34	91.78822383	16.556297	27.97	4.57	0.54	

 	29063	8.97	91.96781348	8.22027251	28.92	6.28	0.87	

 	29064	5.5	91.97028171	-42.1540013	12.48	0.98	0.01	

 	29067	9.75	91.98052613	67.97709065	40.12	7.77	1.25	

 	29074	8.02	91.99602995	27.42845793	22.46	4.78	0.63	

 	29083	6.95	92.02683035	-15.90115596	21.83	3.65	0.47	

 	29134	5.06	92.18476724	-68.84345717	11.78	0.42	-0.07	

 	29185	6.48	92.34764312	-49.56301376	16.63	2.58	0.5	

 	29193	7.51	92.36550276	-51.38954087	13.83	3.21	0.66	

 	29205	5.56	92.39389063	-14.58469045	15.35	1.49	1.15	

 	29208	8.45	92.39948938	5.66878655	33.42	6.07	0.9	

 	29217	7.28	92.41481951	-41.98045851	14.36	3.07	0.48	

 	29242	8.44	92.48517709	34.135932	25.0	5.43	0.79	

 	29271	5.08	92.55918047	-74.7525279	98.54	5.05	0.71	

 	29277	10.48	92.58180602	82.11000311	106.43	10.62	1.51	

 	29295	8.15	92.64458964	-21.86290752	173.19	9.34	1.49	

 	29314	7.45	92.72030146	-61.49989345	13.39	3.08	0.39	

 	29330	8.8	92.76308887	-13.80066379	23.58	5.66	1.0	

 	29374	9.31	92.87535326	-41.57791739	25.91	6.38	0.94	

 	29421	7.48	92.97572069	71.13071708	19.24	3.9	0.48	

 	29432	6.85	93.00187959	6.78369045	43.26	5.03	0.64	

 	29479	8.31	93.1690791	-43.62861605	19.82	4.8	0.66	

 	29525	6.43	93.30190191	10.62786588	55.2	5.14	0.66	

 	29548	9.67	93.39608065	63.39464091	40.38	7.7	1.21	

 	29568	6.37	93.43885743	-23.86220749	59.9	5.26	0.71	

 	29596	8.81	93.55798715	-49.81567102	16.4	4.88	0.71	

 	29600	8.82	93.56266963	84.98631828	15.64	4.79	0.58	

 	29611	8.39	93.60165281	5.16876762	33.74	6.03	0.88	

 	29650	5.2	93.71223277	19.15688949	47.33	3.58	0.43	

 	29673	6.62	93.77519937	-71.70289813	31.95	4.14	0.56	

 	29696	4.32	93.84473576	29.49871224	19.31	0.75	1.02	

 	29716	5.62	93.89315534	-0.51165873	28.02	2.86	0.51	

 	29720	7.05	93.90070561	66.14848318	26.36	4.15	0.51	

 	29724	8.88	93.91183347	-57.70166464	15.87	4.88	0.63	

 	29761	7.43	94.01126215	70.78265278	38.89	5.38	0.78	

 	29788	6.44	94.07848864	-59.21273358	27.5	3.64	0.59	

 	29800	5.04	94.11070845	12.2717103	51.0	3.58	0.43	

 	29824	9.05	94.21057254	44.7065332	24.87	6.03	0.79	

 	29829	7.48	94.220511	-18.60677408	18.86	3.86	0.6	

 	29842	5.54	94.25512509	-37.7376495	10.78	0.7	1.13	

 	29843	6.05	94.26466059	-22.71460054	25.06	3.04	0.58	

 	29852	5.88	94.28988535	-37.25344284	16.1	1.91	0.14	

 	29860	5.7	94.31770235	5.09969578	51.76	4.27	0.61	

 	29882	6.68	94.39038216	35.14909924	20.83	3.27	0.45	

 	29954	7.6	94.58638028	-69.16222172	14.92	3.47	0.45	

 	29997	4.76	94.71158258	69.3200343	18.55	1.1	0.03	

 	30023	6.83	94.77008184	47.3941145	31.33	4.31	0.56	

 	30030	7.95	94.78354667	-3.43888711	20.1	4.47	0.59	

 	30038	6.91	94.81332976	-69.78471797	16.27	2.97	0.51	

 	30045	8.68	94.82920087	-37.46283179	25.4	5.7	0.84	

 	30067	6.61	94.91742934	16.01328387	36.32	4.41	0.56	

 	30104	6.61	95.02469907	-48.74044338	38.92	4.56	0.66	

 	30112	9.83	95.0553193	2.25914233	35.74	7.6	1.27	

 	30129	7.54	95.10203642	80.35660676	16.86	3.67	0.48	

 	30179	8.33	95.25040673	-78.41215925	15.84	4.33	0.59	

 	30225	8.48	95.38795855	-22.2141719	35.92	6.26	0.92	

 	30232	7.73	95.4057403	-18.16644584	22.64	4.5	0.62	

 	30243	7.63	95.43140738	-0.53874678	24.33	4.56	0.69	

 	30247	5.34	95.44211705	53.45239515	17.54	1.56	0.45	

 	30252	6.74	95.45853449	-51.23771911	13.84	2.45	0.23	

 	30258	8.98	95.48312793	-78.71745004	21.14	5.61	0.79	

 	30314	6.53	95.62897591	-60.21880842	42.56	4.68	0.61	

 	30344	7.37	95.74030304	-24.55604925	34.02	5.03	0.66	

 	30377	8.41	95.81072096	-46.82328591	15.43	4.35	0.74	

 	30423	6.47	95.94548524	-58.54393301	10.22	1.52	0.12	

 	30439	7.86	95.9900444	-45.94781987	15.55	3.82	0.71	

 	30463	5.78	96.05783068	-60.28139797	11.37	1.06	-0.0	

 	30476	6.67	96.10171459	-42.84940778	35.85	4.44	0.67	

 	30480	6.45	96.11071103	-63.42864724	31.46	3.94	0.66	

 	30486	7.59	96.12831995	38.56939367	22.29	4.33	0.63	

 	30502	8.66	96.18232056	-43.40587683	16.11	4.7	0.66	

 	30503	6.37	96.18328956	-28.77981914	45.38	4.65	0.63	

 	30513	7.03	96.209174	4.87208478	20.58	3.6	0.51	

 	30533	7.54	96.27434648	-55.72543808	11.2	2.79	0.41	

 	30544	8.81	96.31808972	-34.37838821	20.25	5.34	0.72	

 	30545	5.88	96.31836214	-0.94535265	30.22	3.28	0.56	

 	30552	7.01	96.33465718	11.23338336	30.36	4.42	0.59	

 	30565	5.37	96.36937934	-69.69078672	12.25	0.81	0.97	

 	30579	8.08	96.41016085	-31.48092438	30.69	5.51	0.72	

 	30605	6.87	96.49230327	58.60323104	16.87	3.01	0.37	

 	30630	6.78	96.54301206	18.75730314	68.2	5.95	0.94	

 	30706	6.48	96.78160751	-37.89561574	20.09	2.99	0.39	

 	30711	6.05	96.79782098	-25.85597162	33.48	3.67	0.55	

 	30729	8.41	96.83614206	-33.11384727	22.18	5.14	0.71	

 	30760	6.61	96.95256406	-62.14998693	12.66	2.12	0.09	

 	30860	7.89	97.19059648	38.96309296	20.43	4.44	0.74	

 	30862	7.15	97.19268426	36.48051961	38.98	5.1	0.61	

 	30880	6.57	97.23470629	26.96764519	21.82	3.26	0.55	

 	30888	10.76	97.25520042	-45.36570857	30.2	8.16	1.34	

 	30893	8.59	97.27370602	27.00989342	33.96	6.24	0.91	

 	30905	8.1	97.30445502	10.93404377	27.67	5.31	0.85	

 	30932	5.2	97.36891553	-56.85284448	10.44	0.29	1.09	

 	30973	6.28	97.51253886	-65.56838774	10.27	1.34	0.33	

 	30979	9.11	97.53081151	-11.80913399	35.0	6.83	1.12	

 	30995	8.64	97.5802162	-52.87154544	14.04	4.38	0.7	

 	31039	5.86	97.69642228	58.16345682	17.56	2.08	0.93	

 	31079	5.58	97.82591372	-51.82620719	26.87	2.73	0.53	

 	31083	7.14	97.83981164	2.911269	35.72	4.9	0.71	

 	31134	8.27	97.98676986	-68.70877081	36.05	6.05	0.78	

 	31142	9.86	98.01001211	34.52486627	33.99	7.52	1.24	

 	31143	9.36	98.01146362	40.40285466	27.65	6.57	1.01	

 	31165	5.25	98.08888798	-37.69651376	11.95	0.64	0.98	

 	31167	5.6	98.0963736	-5.86871833	23.13	2.42	0.26	

 	31179	7.92	98.14246961	-55.64838466	13.7	3.6	0.78	

 	31187	8.97	98.15469968	-29.58259339	23.52	5.83	0.8	

 	31201	6.89	98.19207584	-27.4045843	16.3	2.95	0.55	

 	31207	8.1	98.20044376	-55.07926649	16.67	4.21	0.55	

 	31223	6.96	98.24038552	-48.54421709	15.35	2.89	0.47	

 	31246	7.91	98.30231992	5.46316076	29.93	5.29	0.86	

 	31300	11.62	98.46009459	-58.53039331	61.28	10.56	1.5	

 	31314	6.66	98.51056148	-77.68755771	19.39	3.1	0.49	

 	31386	7.78	98.69565965	-63.26210367	12.02	3.18	0.26	

 	31473	8.14	98.89022681	76.86650359	23.47	4.99	0.69	

 	31540	7.63	99.03655687	-27.62165777	26.43	4.74	0.71	

 	31552	6.61	99.06248972	58.1072618	27.48	3.81	0.5	

 	31569	7.16	99.11321072	-57.5393863	11.55	2.47	0.42	

 	31572	6.87	99.11651837	-31.88690966	17.64	3.1	0.37	

 	31575	7.79	99.12763461	72.00981613	20.03	4.3	0.7	

 	31623	7.65	99.26558178	-32.22506176	28.45	4.92	0.7	

 	31635	9.63	99.29694468	17.56399483	101.59	9.66	1.48	

 	31655	7.61	99.3826296	9.14447648	26.13	4.7	0.73	

 	31660	6.84	99.39143708	12.1812482	36.55	4.65	0.72	

 	31666	7.34	99.41062657	-70.60365625	13.44	2.98	0.52	

 	31676	5.94	99.42350092	61.48190031	18.82	2.31	0.9	

 	31712	8.78	99.50226158	-59.77342493	17.41	4.98	0.59	

 	31783	7.76	99.67966245	75.70707706	19.28	4.19	0.51	

 	31850	6.43	99.88112691	24.59994297	28.44	3.7	0.52	

 	31870	5.7	99.92777365	-30.47002424	13.54	1.36	1.13	

 	31878	9.71	99.95856952	-61.47838484	45.56	8.0	1.26	

 	31965	7.6	100.20433648	51.9790346	23.57	4.46	0.67	

 	32010	8.08	100.31491611	23.95838794	57.07	6.86	1.02	

 	32011	8.29	100.31639306	-64.35961368	15.15	4.19	0.56	

 	32043	9.63	100.41478259	-35.55373559	35.25	7.37	0.98	

 	32076	6.97	100.52211785	-15.21493958	33.75	4.61	0.56	

 	32103	8.53	100.59734896	-61.22530867	18.67	4.89	0.76	

 	32127	9.48	100.64430251	-56.44529779	18.28	5.79	0.73	

 	32135	7.29	100.66765532	47.73577966	18.05	3.57	0.5	

 	32235	8.94	100.94263154	-71.97664499	17.7	5.18	0.7	

 	32251	8.53	101.00598706	-42.71505973	20.04	5.04	0.69	

 	32296	6.61	101.12624588	82.11546495	14.48	2.41	0.18	

 	32322	6.43	101.21648345	-27.34238072	37.6	4.31	0.55	

 	32326	8.71	101.22270566	-66.8656625	16.46	4.79	0.61	

 	32329	7.2	101.22859962	20.86062225	21.77	3.89	0.56	

 	32350	6.93	101.29056119	39.36846756	18.38	3.25	0.35	

 	32351	7.6	101.29137391	-82.89586643	12.43	3.07	0.4	

 	32362	3.35	101.3226398	12.89605513	57.02	2.13	0.44	

 	32366	5.92	101.34616795	-31.79292174	41.2	3.99	0.49	

 	32382	7.47	101.37025783	44.23384716	22.09	4.19	0.61	

 	32423	8.8	101.52236005	32.55543654	40.02	6.81	0.96	

 	32435	7.46	101.55596616	-83.99168435	17.46	3.67	0.46	

 	32439	5.44	101.56028979	79.56627808	56.02	4.18	0.53	

 	32480	5.24	101.68474593	43.57702483	60.56	4.15	0.57	

 	32489	5.34	101.70622699	57.1692705	15.69	1.32	0.96	

 	32500	6.46	101.74383218	-87.02497454	25.55	3.5	0.43	

 	32544	10.7	101.86664009	-40.51525243	28.9	8.0	1.31	

 	32617	5.75	102.07953302	-1.31883901	24.95	2.74	0.29	

 	32674	8.04	102.2251745	-73.3002092	14.54	3.85	0.49	

 	32702	7.3	102.33902006	43.75922967	22.41	4.05	0.55	

 	32718	7.01	102.39003903	-41.42928511	15.34	2.94	0.54	

 	32723	10.18	102.39891451	35.14130669	36.16	7.97	1.33	

 	32764	8.66	102.47393605	-50.14915574	16.23	4.71	0.57	

 	32765	5.14	102.47757095	-46.61547007	39.66	3.13	0.46	

 	32769	8.59	102.48636188	60.33454634	60.96	7.52	1.21	

 	32806	8.61	102.58282297	60.9293925	26.01	5.69	0.79	

 	32851	5.78	102.70757903	-0.54042726	33.45	3.4	0.4	

 	32874	6.98	102.75175913	25.76084062	27.01	4.14	0.6	

 	32916	8.1	102.87703924	40.86805498	24.55	5.05	0.73	

 	32919	8.95	102.88585412	47.3695031	53.12	7.58	1.23	

 	32938	5.94	102.92687429	-36.230126	18.14	2.23	0.18	

 	32939	10.06	102.92760534	-43.88722884	39.19	8.03	1.09	

 	32970	7.21	103.00863683	-33.91572691	21.16	3.84	0.61	

 	32984	6.58	103.07653738	-5.17370508	114.94	6.88	1.07	

 	33024	5.75	103.2061973	8.38044841	15.98	1.77	0.27	

 	33037	8.99	103.24791955	-23.10788677	31.61	6.49	0.98	

 	33072	7.64	103.31898341	-74.72562584	18.62	3.99	0.53	

 	33094	6.05	103.3906464	-28.53872019	38.77	3.99	0.71	

 	33109	7.05	103.43695544	-9.51535734	25.06	4.04	0.57	

 	33139	6.24	103.50962353	-50.61214118	18.63	2.59	0.99	

 	33142	11.01	103.51517922	60.87417353	94.02	10.88	1.55	

 	33212	6.84	103.67853817	24.24579282	32.23	4.38	0.58	

 	33229	8.17	103.71403823	-55.25893804	29.35	5.51	0.77	

 	33275	7.6	103.82264667	5.91045955	19.43	4.04	0.52	

 	33277	5.74	103.82787799	25.37563643	57.89	4.55	0.57	

 	33301	7.88	103.9049886	-38.66701745	16.49	3.97	0.51	

 	33302	4.66	103.90582904	-20.13659348	34.21	2.33	0.37	

 	33322	10.23	103.96680453	55.63861821	38.78	8.17	1.35	

 	33324	7.39	103.97176121	-56.94394927	26.58	4.51	0.58	

 	33371	7.69	104.09684299	-57.57594236	16.25	3.74	0.61	

 	33382	7.41	104.14245997	1.16348742	31.15	4.88	0.69	

 	33428	9.68	104.26929658	30.75703466	53.67	8.33	1.36	

 	33449	4.35	104.31916052	58.42305973	19.14	0.76	0.85	

 	33485	4.9	104.40468738	45.09410202	14.49	0.71	0.03	

 	33495	6.91	104.4393842	-52.64755477	27.38	4.1	0.48	

 	33497	7.62	104.44344997	22.89289613	23.74	4.5	0.56	

 	33537	6.94	104.54883196	22.47564759	41.25	5.02	0.62	

 	33580	8.06	104.65787366	51.86771829	25.63	5.1	0.68	

 	33588	6.26	104.66587384	-55.72892565	11.64	1.59	1.16	

 	33595	6.2	104.69798197	26.08085056	21.1	2.82	0.52	

 	33671	7.78	104.93081754	-29.70751071	21.26	4.42	0.53	

 	33682	5.18	104.96074141	-67.91701197	11.26	0.44	1.4	

 	33690	6.81	104.99938315	-61.33682491	54.33	5.49	0.79	

 	33691	8.44	105.01139325	-31.22817287	25.44	5.47	0.74	

 	33694	4.55	105.0160332	76.97744152	17.43	0.76	1.37	

 	33705	6.62	105.04066623	-31.14177272	25.57	3.66	0.44	

 	33719	6.29	105.07543371	-5.3673572	35.63	4.05	0.57	

 	33736	8.47	105.12318748	-41.38033117	30.54	5.89	0.9	

 	33760	6.28	105.177198	-28.48947369	14.67	2.11	0.45	

 	33799	7.66	105.26882084	-21.96479013	23.06	4.47	0.53	

 	33800	6.01	105.27157418	-58.94029633	18.65	2.36	0.3	

 	33802	7.33	105.27332401	-65.70665915	16.91	3.47	0.46	

 	33805	10.93	105.27659697	59.83325319	43.88	9.14	1.48	

 	33848	8.16	105.39825472	6.92677437	35.35	5.9	0.86	

 	33852	7.98	105.40878559	48.37971973	48.96	6.43	0.99	

 	33863	7.7	105.44534958	-56.62143574	12.6	3.2	0.55	

 	33932	8.31	105.61902437	79.16460184	20.88	4.91	0.63	

 	33955	8.38	105.67931488	-6.79846402	53.47	7.02	1.08	

 	34017	5.93	105.87647681	29.33909345	52.37	4.53	0.59	

 	34024	7.15	105.88963281	71.75799381	27.38	4.34	0.52	

 	34104	10.95	106.07408227	-10.50682727	64.96	10.01	1.53	

 	34115	11.95	106.10581565	68.28866968	65.44	11.03	1.53	

 	34235	8.81	106.45752759	83.61268873	18.2	5.11	0.68	

 	34271	8.25	106.57025077	22.68367796	22.77	5.04	0.7	

 	34361	11.11	106.84499498	-21.45707442	58.04	9.93	1.44	

 	34392	11.17	106.96195688	67.20141656	56.51	9.93	1.5	

 	34396	8.03	106.97106857	-34.83375919	16.95	4.18	0.61	

 	34407	7.8	107.00113728	15.52909801	21.96	4.51	0.56	

 	34409	8.12	107.00753509	-27.75694566	19.75	4.6	0.6	

 	34414	8.32	107.01810055	29.83521044	44.92	6.58	0.91	

 	34417	6.87	107.02770868	-57.33120462	16.81	3.0	0.36	

 	34423	8.85	107.03927228	-9.96877138	34.84	6.56	0.95	

 	34426	7.7	107.05006549	15.52136431	22.23	4.43	0.53	

 	34511	8.0	107.27105147	15.42228551	22.78	4.79	0.63	

 	34567	7.09	107.39779027	25.72907423	40.68	5.14	0.7	

 	34589	6.62	107.46745475	-16.23472715	15.76	2.61	0.31	

 	34622	4.91	107.55700787	-4.23763568	15.45	0.85	1.02	

 	34670	5.12	107.69791141	-48.93257706	10.43	0.21	1.25	

 	34673	9.96	107.70776512	-14.43377333	39.4	7.94	1.31	

 	34700	8.01	107.8116555	32.61503306	21.86	4.71	0.57	

 	34712	11.16	107.83157295	-67.12114561	38.44	9.08	1.44	

 	34714	7.16	107.8315036	33.11188264	21.82	3.85	0.43	

 	34739	7.5	107.88197378	-49.42619224	36.11	5.29	0.7	

 	34782	6.1	108.01716282	-30.82142072	21.02	2.71	0.27	

 	34785	10.37	108.02034398	-24.89207132	36.44	8.18	1.33	

 	34805	7.33	108.07219223	-67.7822526	21.62	4.0	0.74	

 	34834	4.49	108.14058722	-46.75956448	47.22	2.86	0.32	

 	34879	7.17	108.26138625	-24.22582478	27.06	4.33	0.66	

 	34899	4.87	108.30571289	-45.18252474	17.97	1.14	-0.0	

